RunId	Time	_sDepthW_	_sDFiAd_	_sDFiJv_	_sDPisc_	_sDVeg_	_sVegHeight_	_sDBent_	_sDRootPhra_	_sDShootPhra_	_sNH4WEpi_	_sNO3WEpi_	_sPO4WEpi_	_sPAIMWEpi_	_sSiO2WEpi_	_sO2WEpi_	_sDDetWEpi_	_sDIMWEpi_	_sDDiatWEpi_	_sDGrenWEpi_	_sDBlueWEpi_	_sDZooEpi_	_sDExtTotT_	_uDepthWEpi_	_uDepthWHyp_	_oO2WHyp_	_uVegHeight_	_oPTotWHyp_	_uPLoad_	_tPDifPO4Hyp_	_aDVeg_	_oChlaHyp_	_aSecchiT_	_oPTotWEpi_	_oChlaEpi_	_aDError_	_aNError_	_aPError_	_aSiError_	_aO2Error_	-1
0	470	2	2.78585	1.17053	0.000290645	0.138211	2	1.88211	5000	1000	0.213852	0.0419377	0.0258677	0.000165301	5.0681	23.2872	18.7505	4.24181	1.45276	0.00776617	3.83969	4.05143	33608.1	2	0.01	6.91704	2	0.921244	0.001	0	0.137803	6.70064	0.592211	0.101713	26.5889	-8.73115e-011	-2.84217e-013	4.26326e-014	5.68434e-014	0	-1
0	480	2	2.8224	1.80911	0.000289875	0.174087	2	1.68609	5000	1000	0.312694	0.102132	0.045109	0.000188546	5.1645	21.9564	18.1224	4.76032	0.863351	0.00543139	3.80459	3.31389	33608.6	2	0.01	6.91704	2	0.921244	0.001	0	0.173586	6.70064	0.620664	0.110495	23.304	-8.73115e-011	-3.41061e-013	2.84217e-014	6.39488e-014	0	-1
0	490	2	2.74735	2.80224	0.000288076	0.222254	2	1.48995	5000	1000	0.283688	0.131751	0.0361362	0.000207341	5.31742	21.583	18.1942	5.21559	1.1718	0.00878601	4.90735	1.77013	33612.3	2	0.01	6.91704	2	0.921244	0.001	0	0.22075	6.70064	0.56908	0.121855	30.7417	-8.73115e-011	-1.7053e-013	2.13163e-014	7.10543e-014	0	-1
0	500	2	2.66458	3.08152	0.000285439	0.269051	2	1.32366	5000	1000	0.0993099	0.020688	0.00400198	0.000220186	5.11324	22.5362	19.3564	5.60167	3.5881	0.0220866	7.76294	0.747982	33621.5	2	0.01	6.91704	2	0.921244	0.001	0	0.268725	6.70064	0.427377	0.135198	61.8162	-8.73115e-011	-3.41061e-013	0	8.52651e-014	0	-1
0	510	2	2.53119	2.77852	0.000281937	0.303569	2	1.18465	5000	1000	0.0430841	0.00624371	0.00258207	0.000229418	4.75641	22.0251	20.9765	5.83621	5.97148	0.035389	10.7369	0.66976	33631.6	2	0.01	6.91704	2	0.921244	0.001	0	0.303302	6.70064	0.338142	0.147552	95.5596	-6.54836e-011	-3.41061e-013	7.10543e-015	9.9476e-014	0	-1
0	520	2	2.38537	2.59007	0.000278209	0.327707	2	1.0933	5000	1000	0.0381168	0.00538353	0.00237885	0.000231157	4.64547	21.0346	22.2866	5.88088	6.57001	0.0403397	12.4425	0.713582	33637.4	2	0.01	6.91704	2	0.921244	0.001	0	0.327501	6.70064	0.305835	0.156245	111.237	-7.27596e-011	-3.97904e-013	1.42109e-014	1.06581e-013	0	-1
0	530	2	2.23589	2.48454	0.000274304	0.348833	2	1.03632	5000	1000	0.0369615	0.00524305	0.00233924	0.000227405	4.70638	20.2479	22.9053	5.78903	6.482	0.0422836	13.5883	0.718291	33640.7	2	0.01	6.91704	2	0.921244	0.001	0	0.348659	6.70064	0.292082	0.163171	118.933	-8.73115e-011	-3.41061e-013	1.42109e-014	1.13687e-013	0	-1
0	540	2	2.08438	2.38541	0.000270137	0.370134	2	1.00496	5000	1000	0.036229	0.00522625	0.00231686	0.000219684	4.90112	19.5963	22.7876	5.5974	6.17663	0.0437985	14.6003	0.696996	33642.7	2	0.01	6.91704	2	0.921244	0.001	0	0.369984	6.70064	0.285328	0.169332	124.243	-8.00355e-011	-2.84217e-013	1.42109e-014	9.9476e-014	0	-1
0	550	2	1.95753	2.28541	0.000266392	0.389239	2	0.996034	5000	1000	0.0356049	0.00523149	0.00229175	0.000211086	5.18018	19.1019	22.1777	5.38278	5.78883	0.0450571	15.4499	0.674321	33643.8	2	0.01	6.91704	2	0.921244	0.001	0	0.389094	6.70064	0.282916	0.174082	127.812	-8.00355e-011	-2.84217e-013	2.13163e-014	1.06581e-013	0	-1
0	560	2	1.84063	2.17211	0.000262637	0.408621	2	1.00168	5000	1000	0.0350202	0.00524703	0.00226186	0.000202135	5.56489	18.6711	21.2414	5.15862	5.27084	0.0459883	16.2482	0.650916	33644.7	2	0.01	6.91704	2	0.921244	0.001	0	0.408491	6.70064	0.283218	0.178199	130.198	-9.45874e-011	-2.84217e-013	2.13163e-014	1.13687e-013	0	-1
0	570	2	1.75203	2.06511	0.0002595	0.424701	2	1.01551	5000	1000	0.0345901	0.00526595	0.00223306	0.000195109	5.97214	18.3694	20.2984	4.98511	4.72475	0.0462612	16.8455	0.628605	33645.2	2	0.01	6.91704	2	0.921244	0.001	0	0.424595	6.70064	0.285538	0.181114	131.012	-8.73115e-011	-5.68434e-014	1.42109e-014	1.06581e-013	0	-1
0	580	2	1.67733	1.95075	0.000256543	0.439031	2	1.03416	5000	1000	0.0342527	0.00528405	0.00220611	0.000189417	6.42543	18.1543	19.3416	4.84787	4.11722	0.0458674	17.3126	0.60403	33645.7	2	0.01	6.91704	2	0.921244	0.001	0	0.438951	6.70064	0.28958	0.183348	130.556	-8.00355e-011	-5.68434e-014	2.84217e-014	9.9476e-014	0	-1
0	590	2	1.61466	1.82651	0.000253698	0.450912	2	1.05512	5000	1000	0.0340015	0.00529634	0.00218146	0.000185255	6.91325	18.0355	18.4157	4.74801	3.46228	0.044673	17.6303	0.577381	33646.2	2	0.01	6.91704	2	0.921244	0.001	0	0.450846	6.70064	0.295368	0.184904	128.786	-7.27596e-011	-1.13687e-013	3.55271e-014	1.13687e-013	0	-1
0	600	2	1.56805	1.70748	0.000251221	0.458507	2	1.07411	5000	1000	0.0338363	0.00530012	0.00215723	0.000182613	7.36228	18.023	17.6394	4.6855	2.8558	0.0428288	17.7601	0.552776	33646.6	2	0.01	6.91704	2	0.921244	0.001	0	0.458468	6.70064	0.302224	0.185559	126.008	-6.54836e-011	-5.68434e-014	2.84217e-014	1.06581e-013	0	-1
0	610	2	1.53115	1.58854	0.000248909	0.462131	2	1.09186	5000	1000	0.0337046	0.00529866	0.00213044	0.000180436	7.78675	18.1049	16.9453	4.6376	2.27665	0.04034	17.7165	0.529639	33646.9	2	0.01	6.91704	2	0.921244	0.001	0	0.462119	6.70064	0.310642	0.185286	122.189	-6.54836e-011	-1.7053e-013	7.10543e-015	9.9476e-014	0	-1
0	620	2	1.50255	1.4734	0.000246795	0.461366	2	1.10894	5000	1000	0.0335653	0.00529807	0.00209861	0.000177932	8.1709	18.2792	16.3123	4.58525	1.74556	0.0373392	17.4868	0.508979	33647.1	2	0.01	6.91704	2	0.921244	0.001	0	0.461385	6.70064	0.321008	0.183933	117.336	-5.09317e-011	-3.41061e-013	-7.10543e-015	9.59233e-014	0	-1
