time	sDepthWN0	sDFiAdN0	sDepthWN1	sDFiAdN1	sDepthWN2	sDFiAdN2	sDepthWN3	sDFiAdN3	sDepthWN4	sMixDepthWN4	sDFiAdN4	sDepthWN5	sDFiAdN5	sDepthWN6	sDFiAdN6	sDepthWN7	sDFiAdN7	sDepthWN8	sDFiAdN8	sDepthWN9	sDFiAdN9	sDepthWN10	sDFiAdN10	sDepthWN11	sDFiAdN11	sDepthWN110	sDFiAdN110
18116	3	2.191268199	1.2	3.04776943	1.5	3.49954005	1.5	3.142029571	1.5	0	3.095369465	3	2.191268199	3	2.191268199	3	2.191268199	3	2.191268199	3	2.191268199	3	2.191268199	3	2.191268199	3	2.191268199
18117	3	2.183579216	1.2	3.050651141	1.5	3.508289002	1.5	3.146358385	1.5	0	3.09868481	3	2.183579216	3	2.183579216	3	2.183579216	3	2.183579216	3	2.183579216	3	2.183579216	3	2.183579216	3	2.183579216
18118	3	2.176757881	1.2	3.054079783	1.5	3.517493993	1.5	3.151199722	1.5	0	3.102506601	3	2.176757881	3	2.176757881	3	2.176757881	3	2.176757881	3	2.176757881	3	2.176757881	3	2.176757881	3	2.176757881
18119	3	2.170805701	1.2	3.058040941	1.5	3.527138455	1.5	3.156540012	1.5	0	3.106822151	3	2.170805701	3	2.170805701	3	2.170805701	3	2.170805701	3	2.170805701	3	2.170805701	3	2.170805701	3	2.170805701
18120	3	2.165723484	1.2	3.062520301	1.5	3.53720605	1.5	3.162365769	1.5	0	3.111618848	3	2.165723484	3	2.165723484	3	2.165723484	3	2.165723484	3	2.165723484	3	2.165723484	3	2.165723484	3	2.165723484
18121	3	2.161511322	1.2	3.06750365	1.5	3.547680676	1.5	3.168663595	1.5	0	3.116884157	3	2.161511322	3	2.161511322	3	2.161511322	3	2.161511322	3	2.161511322	3	2.161511322	3	2.161511322	3	2.161511322
18122	3	2.15816858	1.2	3.07297688	1.5	3.558546475	1.5	3.175420183	1.5	0	3.12260562	3	2.15816858	3	2.15816858	3	2.15816858	3	2.15816858	3	2.15816858	3	2.15816858	3	2.15816858	3	2.15816858
18123	3	2.155693888	1.2	3.078925982	1.5	3.569787838	1.5	3.182622316	1.5	0	3.128770858	3	2.155693888	3	2.155693888	3	2.155693888	3	2.155693888	3	2.155693888	3	2.155693888	3	2.155693888	3	2.155693888
18124	3	2.154085134	1.2	3.085337057	1.5	3.581389412	1.5	3.190256872	1.5	0	3.135367574	3	2.154085134	3	2.154085134	3	2.154085134	3	2.154085134	3	2.154085134	3	2.154085134	3	2.154085134	3	2.154085134
18125	3	2.153339464	1.2	3.092196307	1.5	3.593336104	1.5	3.198310826	1.5	0	3.142383553	3	2.153339464	3	2.153339464	3	2.153339464	3	2.153339464	3	2.153339464	3	2.153339464	3	2.153339464	3	2.153339464
18126	3	2.153453272	1.2	3.099490048	1.5	3.605613097	1.5	3.206771254	1.5	0	3.149806667	3	2.153453272	3	2.153453272	3	2.153453272	3	2.153453272	3	2.153453272	3	2.153453272	3	2.153453272	3	2.153453272
18127	3	2.154422211	1.2	3.107204705	1.5	3.618205847	1.5	3.215625339	1.5	0	3.157624876	3	2.154422211	3	2.154422211	3	2.154422211	3	2.154422211	3	2.154422211	3	2.154422211	3	2.154422211	3	2.154422211
18128	3	2.156241188	1.2	3.115326823	1.5	3.631100098	1.5	3.224860376	1.5	0	3.165826237	3	2.156241188	3	2.156241188	3	2.156241188	3	2.156241188	3	2.156241188	3	2.156241188	3	2.156241188	3	2.156241188
18129	3	2.158904373	1.2	3.123843066	1.5	3.644281889	1.5	3.234463774	1.5	0	3.174398901	3	2.158904373	3	2.158904373	3	2.158904373	3	2.158904373	3	2.158904373	3	2.158904373	3	2.158904373	3	2.158904373
18130	3	2.162405205	1.2	3.132740223	1.5	3.65773756	1.5	3.244423066	1.5	0	3.183331126	3	2.162405205	3	2.162405205	3	2.162405205	3	2.162405205	3	2.162405205	3	2.162405205	3	2.162405205	3	2.162405205
